timestamp,f1,f2,f3,f4,ax,ay,az,gx,gy,gz,label
1769266529.2039826,0.314,0.0,0.005,0.457,-1.011,-0.158,0.013,-0.33,-0.109,-0.019,I
1769266529.44556,0.317,0.0,0.006,0.457,-0.962,-0.139,0.035,0.263,0.009,0.064,I
1769266529.5109625,0.317,0.0,0.006,0.457,-0.976,-0.146,0.036,0.129,0.18,0.107,I
1769266529.5453157,0.317,0.0,0.007,0.458,-0.975,-0.151,0.038,0.037,0.153,-0.142,I
1769266531.1081219,0.316,0.0,0.009,0.46,-0.948,-0.21,-0.05,-0.048,0.305,-0.146,I
1769266531.7564945,0.32,0.0,0.01,0.461,-0.889,-0.308,-0.108,0.035,0.048,-0.015,I
1769266532.2174978,0.319,0.0,0.01,0.461,-0.943,-0.266,-0.065,-0.213,0.137,0.115,I
1769266539.2943134,0.324,0.0,0.015,0.464,-0.941,-0.257,0.005,0.114,-0.032,0.132,I
1769266539.3385706,0.326,0.0,0.015,0.464,-0.955,-0.271,0.002,-0.104,-0.121,0.108,I
1769266539.4448113,0.327,0.0,0.015,0.465,-0.949,-0.284,0.001,-0.074,-0.289,0.03,I
1769266539.4457974,0.303,0.0,0.012,0.463,-0.939,-0.277,-0.004,-0.116,-0.079,0.036,I
1769266539.4815884,0.311,0.0,0.013,0.463,-0.943,-0.269,0.012,-0.127,0.216,-0.028,I
1769266540.0594075,0.324,0.0,0.015,0.464,-0.83,-0.396,-0.057,0.137,0.09,0.037,I
1769266541.6006353,0.325,0.0,0.016,0.464,-0.885,-0.283,-0.035,-0.123,0.057,0.165,I
1769266542.7186954,0.32,0.0,0.017,0.464,-0.922,-0.204,-0.151,-0.043,-0.173,-0.089,I
1769266542.7495513,0.321,0.0,0.017,0.464,-0.927,-0.2,-0.144,-0.053,0.142,-0.076,I
1769266542.823526,0.322,0.0,0.016,0.464,-0.96,-0.19,-0.132,-0.026,0.309,-0.119,I
1769266543.3348145,0.327,0.0,0.017,0.465,-0.902,-0.281,-0.122,-0.13,-0.309,0.016,I
1769266543.3456151,0.327,0.0,0.017,0.465,-0.897,-0.295,-0.13,0.178,-0.005,0.211,I
1769266544.0610888,0.322,0.0,0.018,0.465,-0.954,-0.287,-0.049,0.348,-0.016,-0.087,I
1769266544.1506147,0.323,0.0,0.018,0.465,-0.956,-0.256,-0.045,-0.126,-0.273,0.012,I
1769266545.1828613,0.322,0.0,0.014,0.464,-0.931,-0.261,-0.175,-0.039,0.176,0.078,I
1769266545.2297883,0.323,0.0,0.014,0.464,-0.946,-0.266,-0.166,-0.142,0.181,-0.149,I
1769266545.789834,0.326,0.0,0.015,0.465,-0.878,-0.391,-0.164,-0.073,-0.148,-0.032,I
1769266545.82524,0.327,0.0,0.016,0.465,-0.885,-0.398,-0.148,0.153,-0.1,-0.006,I
1769266546.5594404,0.325,0.0,0.015,0.465,-0.975,-0.269,-0.173,0.021,0.023,-0.016,I
1769266547.2567964,0.321,0.0,0.015,0.466,-0.858,-0.375,-0.218,0.104,-0.147,-0.091,I
1769266547.345154,0.32,0.0,0.016,0.466,-0.85,-0.373,-0.22,0.302,0.003,0.174,I
1769266547.9443722,0.321,0.0,0.015,0.465,-0.986,-0.199,-0.212,0.015,-0.242,-0.233,I
1769266549.7477167,0.317,0.0,0.016,0.465,-0.958,-0.237,-0.215,0.142,0.111,0.008,I
1769266549.7810748,0.319,0.0,0.017,0.465,-0.932,-0.243,-0.234,0.114,-0.03,-0.138,I
1769266549.8339257,0.321,0.0,0.017,0.465,-0.916,-0.241,-0.23,-0.053,-0.114,-0.14,I
1769266549.8923485,0.322,0.0,0.017,0.465,-0.897,-0.231,-0.237,-0.184,-0.112,-0.018,I
1769266550.4002538,0.328,0.0,0.017,0.466,-0.945,-0.171,-0.208,-0.388,-0.038,-0.062,I
1769266553.603303,0.323,0.0,0.017,0.466,-0.945,-0.301,-0.189,0.025,0.032,-0.231,I
1769266554.2456815,0.32,0.0,0.018,0.466,-0.839,-0.362,-0.308,-0.097,0.234,0.044,I
1769266555.5335484,0.336,0.0,0.016,0.466,-0.855,-0.4,-0.196,0.376,0.091,0.024,I
1769266556.0798497,0.303,0.0,0.014,0.465,-0.921,-0.314,-0.221,-0.151,0.045,0.28,I
1769266556.1344986,0.309,0.0,0.014,0.465,-0.917,-0.303,-0.227,-0.097,-0.058,0.272,I
1769266556.2476213,0.317,0.0,0.015,0.466,-0.902,-0.306,-0.237,-0.016,0.195,0.236,I
1769266556.269122,0.319,0.0,0.015,0.466,-0.907,-0.294,-0.246,0.065,0.142,0.102,I
1769266556.3473303,0.323,0.0,0.015,0.466,-0.907,-0.296,-0.235,0.06,0.15,0.13,I
1769266556.3598268,0.323,0.0,0.015,0.466,-0.903,-0.285,-0.237,0.079,0.074,0.129,I
1769266556.4471972,0.326,0.0,0.015,0.466,-0.905,-0.293,-0.235,0.011,0.174,0.159,I
1769266556.4471972,0.327,0.0,0.014,0.466,-0.908,-0.29,-0.227,0.025,-0.002,-0.021,I
1769266556.5005188,0.328,0.0,0.014,0.465,-0.901,-0.279,-0.222,-0.0,-0.111,0.015,I
1769266556.5450044,0.329,0.0,0.014,0.466,-0.902,-0.274,-0.208,-0.078,-0.103,-0.041,I
1769266564.871017,0.32,0.0,0.017,0.466,-0.851,-0.31,-0.227,-0.152,0.02,0.271,I
1769266569.5586424,0.324,0.0,0.018,0.466,-0.959,-0.225,-0.3,-0.121,-0.101,-0.041,I
1769266570.529312,0.321,0.0,0.019,0.466,-0.919,-0.283,-0.246,0.297,-0.063,0.13,I
