label,thumb_mean,thumb_std,index_mean,index_std,middle_mean,middle_std,ring_mean,ring_std,pinky_mean,pinky_std,accX_mean,accX_std,accY_mean,accY_std,accZ_mean,accZ_std,gyroX_mean,gyroX_std,gyroY_mean,gyroY_std,gyroZ_mean,gyroZ_std
HELLO,1190.75,1.41,0.0,0.0,910.2,1.03,35.7,1.35,553.65,2.99,13909.0,173.51,452.2,122.15,9407.4,196.55,-340.7,131.69,178.3,238.33,77.65,145.13
HELLO,1192.15,1.68,0.0,0.0,910.5,1.16,37.2,2.09,554.4,1.93,13977.0,192.36,390.6,143.72,9364.6,130.05,-367.05,196.18,228.8,224.84,56.05,106.45
HELLO,1192.8,2.06,0.0,0.0,909.75,1.09,37.6,2.71,553.35,3.48,13444.4,1445.8,-997.0,2665.94,9720.6,540.61,-1468.7,1476.11,1313.7,1092.86,3445.7,3985.07
HELLO,1193.0,1.76,0.0,0.0,909.85,1.06,41.3,2.03,544.25,2.81,12008.8,1240.67,-5678.6,1636.91,10061.4,816.33,-209.75,522.51,-804.9,800.35,-2168.9,1506.36
HELLO,1194.2,2.14,0.0,0.0,909.5,2.84,42.05,2.85,544.85,1.19,14388.2,384.58,-936.8,1506.76,8429.0,491.04,-68.55,495.11,-295.35,387.73,-1955.75,1013.45
HELLO,1194.25,1.81,1.0,4.36,909.5,1.4,34.4,4.32,543.85,1.8,14801.6,167.36,2361.6,833.43,7521.0,301.81,-138.25,544.44,-42.65,343.13,-916.85,704.42
HELLO,1192.7,5.74,18.15,7.89,909.8,1.29,41.3,1.68,546.3,1.85,14567.0,171.85,4441.8,954.06,6900.0,430.66,-22.3,801.33,-124.6,313.82,-1170.9,612.71
HELLO,1194.05,1.07,8.55,10.51,909.9,0.94,36.45,5.84,544.5,0.74,13805.8,292.94,7436.8,945.18,6045.0,391.9,-247.75,759.44,262.15,479.79,-570.6,1420.73
HELLO,1193.55,2.06,0.0,0.0,908.2,7.97,33.1,2.02,543.7,1.05,14012.0,241.6,5418.8,880.74,7319.6,545.81,-864.2,468.09,915.7,365.7,1476.05,391.49
HELLO,1194.25,1.51,0.0,0.0,909.45,0.86,35.2,3.47,543.6,1.28,14192.6,114.21,2954.2,548.02,8446.4,298.12,-492.1,304.93,637.7,214.61,899.05,322.12
HELLO,1194.25,1.89,0.0,0.0,910.7,4.09,36.1,2.19,545.1,1.14,14016.4,162.29,635.8,805.24,9189.6,201.04,-639.25,185.85,479.35,266.68,1243.0,346.55
HELLO,1194.5,1.96,0.0,0.0,909.8,1.03,36.55,1.5,543.95,1.2,13639.8,251.88,-1492.8,553.76,9661.4,186.98,-559.9,146.76,573.1,168.37,1019.05,167.46
HELLO,1195.4,1.28,0.0,0.0,907.9,2.9,22.95,9.29,516.65,22.87,13313.2,957.66,401.0,6867.34,8453.2,2719.9,435.2,2754.1,-1546.2,3130.6,-2837.05,8836.18
HELLO,1194.2,3.25,0.0,0.0,908.15,1.19,0.7,2.19,312.65,70.07,13009.0,1654.86,-1420.4,9018.31,6122.8,2801.68,-1319.55,5351.18,994.75,4957.35,4403.55,17901.61
HELLO,1192.8,3.03,0.0,0.0,909.2,1.03,0.0,0.0,193.3,27.44,12234.0,2872.76,-1255.6,10404.95,5214.8,3823.73,885.2,5962.36,-2251.0,9033.7,-5775.2,21894.29
HELLO,1193.6,2.58,0.0,0.0,908.9,2.95,0.0,0.0,179.9,33.88,14080.2,1081.15,1308.4,9895.79,2502.8,4881.89,-1491.35,9047.5,709.8,10525.12,2398.2,21217.9
HELLO,1192.75,3.58,0.0,0.0,908.15,2.92,0.0,0.0,223.5,19.67,14684.4,2185.43,-3722.0,7638.48,3908.4,1437.74,-782.3,4723.94,651.8,4665.62,2284.6,19250.94
HELLO,1194.0,3.08,0.0,0.0,910.05,1.63,0.0,0.0,234.45,17.6,14652.8,2140.46,-799.4,7404.01,4547.2,1601.23,-723.05,5458.05,94.55,4373.51,-4.4,18530.37
HELLO,1194.2,2.32,0.0,0.0,908.7,1.14,0.0,0.0,246.8,15.49,14600.6,1986.64,-3046.2,6254.42,5136.8,1912.41,-283.8,5219.71,142.8,5914.99,150.7,16804.52
HELLO,1195.0,2.3,0.0,0.0,908.45,1.32,0.0,0.0,203.85,12.57,15332.2,1863.93,1194.6,7178.24,3012.6,2019.69,-334.45,6749.05,833.25,5967.78,-817.0,19294.42
HELLO,1194.25,1.41,0.0,0.0,908.15,1.96,0.0,0.0,204.85,18.98,13933.2,2016.22,-2582.6,8426.38,4472.0,2792.5,-1335.55,4511.96,-371.9,7748.91,909.15,21646.07
HELLO,1195.4,5.77,0.0,0.0,907.05,1.47,0.0,0.0,150.05,32.5,14971.0,1611.33,-2252.8,6574.41,3682.4,2436.81,-1333.6,4915.22,-713.75,6942.33,-562.4,19183.59
HELLO,1193.1,8.44,0.0,0.0,907.55,1.83,0.0,0.0,140.45,7.23,14740.2,1495.1,-2868.2,5592.69,4357.0,1816.19,-152.25,3548.3,933.25,3815.63,1733.85,15424.06
HELLO,1196.0,1.48,0.0,0.0,908.9,1.89,0.0,0.0,136.1,5.52,15872.8,1215.11,-1723.4,4928.46,3878.6,721.08,-393.35,3511.52,-372.5,3094.96,263.15,13302.68
HELLO,1196.25,3.34,0.0,0.0,909.5,1.36,0.0,0.0,138.15,9.4,16461.0,3086.09,-408.8,5504.87,2059.8,2465.93,-582.75,3928.5,146.35,7264.36,-2051.45,16087.64
HELLO,1196.1,2.45,0.0,0.0,910.0,6.8,0.0,0.0,136.0,12.66,16078.8,983.64,99.2,4761.61,2637.6,1144.71,-1001.35,3806.3,848.4,4153.31,2231.15,15764.82
HELLO,1194.55,4.25,0.0,0.0,906.0,9.31,0.0,0.0,129.75,8.99,15366.8,1429.45,-2364.8,6989.58,3875.4,796.84,-443.45,4539.37,-218.85,3249.41,931.1,16541.36
HELLO,1196.6,4.2,0.0,0.0,909.05,8.15,0.0,0.0,124.7,8.71,15238.8,1019.41,1510.6,6382.62,3634.0,1239.87,22.2,6361.53,302.05,2873.32,-2099.95,19665.76
HELLO,1194.5,3.22,0.0,0.0,906.3,13.36,0.0,0.0,126.05,14.2,15137.8,1201.35,-319.6,7257.03,2306.0,1838.6,22.5,8150.38,-1254.75,4542.0,-1457.65,20538.81
HELLO,1193.85,6.99,0.0,0.0,902.9,10.56,0.0,0.0,112.75,7.85,15436.0,1692.48,-507.6,7286.36,2075.6,952.56,-418.7,7659.21,-409.9,2986.34,-715.3,20830.59
HELLO,1196.85,8.85,0.0,0.0,905.4,7.72,0.0,0.0,124.2,9.95,15556.2,1533.69,677.4,6354.47,2493.2,1238.44,-1829.25,6752.94,557.55,2189.99,3743.05,16446.97
HELLO,1194.35,4.98,0.0,0.0,904.95,9.57,0.0,0.0,117.9,6.27,15194.8,882.18,-2297.6,5779.02,3172.4,1573.26,37.25,2284.23,-584.65,5136.17,-2755.05,16162.46
HELLO,1192.15,12.5,0.0,0.0,907.45,9.92,0.0,0.0,145.15,14.83,15642.4,1000.09,601.8,5192.02,3682.0,1109.96,-984.4,3310.43,1333.15,2592.2,2128.3,15893.0
HELLO,1192.75,11.67,0.0,0.0,907.1,7.66,0.0,0.0,134.4,20.93,14413.8,1014.84,-3537.8,7160.11,3816.2,1702.01,-675.2,4403.79,-15.0,3677.83,1390.4,18318.25
HELLO,1192.95,7.96,0.0,0.0,909.4,8.52,0.0,0.0,130.4,14.95,12625.0,2707.54,-154.4,11918.85,-949.4,5242.82,-1409.95,5131.99,-2362.6,9393.64,-4175.5,23675.53
HELLO,1195.25,5.03,0.0,0.0,908.55,8.86,0.0,0.0,111.9,10.61,14717.0,2929.31,-2293.8,6431.73,3119.6,3845.57,-62.35,3732.67,1107.6,7826.56,-1611.15,15981.68
HELLO,1195.35,4.41,0.0,0.0,910.45,1.94,0.0,0.0,84.7,8.17,14538.6,1171.38,1933.4,8386.79,-110.4,3162.84,-1804.9,5062.17,1409.15,6083.31,1918.4,18831.82
HELLO,1197.8,1.6,0.0,0.0,910.45,1.2,0.0,0.0,80.05,4.86,14325.0,1915.34,-2772.6,7835.19,3129.2,3185.35,-1206.4,3391.77,2979.3,5740.51,4929.05,17397.76
HELLO,1196.15,3.57,0.0,0.0,910.0,1.9,0.0,0.0,82.6,9.44,12323.6,1208.34,-705.6,10662.92,2226.8,5084.42,-744.15,5096.65,-873.65,10245.27,-851.7,22004.61
HELLO,1197.3,2.67,0.0,0.0,911.85,6.04,0.0,0.0,82.7,9.39,13132.0,2016.92,5660.2,7956.6,1575.4,3371.38,-295.25,6709.12,-362.3,6674.06,-1550.4,17157.64
HELLO,1196.2,1.86,0.0,0.0,910.0,2.85,0.0,0.0,86.15,8.95,14886.0,2051.95,-2830.6,5595.66,5026.2,2437.06,-865.65,4581.51,-1278.1,5994.34,25.35,15117.74
