label,thumb_mean,thumb_std,index_mean,index_std,middle_mean,middle_std,ring_mean,ring_std,pinky_mean,pinky_std,accX_mean,accX_std,accY_mean,accY_std,accZ_mean,accZ_std,gyroX_mean,gyroX_std,gyroY_mean,gyroY_std,gyroZ_mean,gyroZ_std
WE,1179.1,1.37,0.0,0.0,912.6,3.84,54.8,18.74,0.0,0.0,15563.0,573.01,-358.0,603.73,6341.8,577.41,-795.5,1076.92,-385.75,1209.31,-570.85,731.78
WE,1180.0,2.51,0.0,0.0,911.7,0.46,88.6,11.72,0.0,0.0,15648.0,387.44,121.6,397.38,6077.6,390.37,-338.35,728.45,252.45,650.66,95.35,434.43
WE,1180.7,1.76,59.7,55.82,911.8,0.4,67.55,5.84,0.0,0.0,15656.0,284.44,-20.6,286.24,6027.6,244.64,-452.7,515.47,9.9,588.42,51.35,231.23
WE,1180.5,2.66,78.35,39.62,912.2,1.36,56.4,6.38,0.0,0.0,15753.0,241.67,-40.2,273.03,5721.4,163.88,-293.2,475.96,299.65,346.14,17.75,195.27
WE,1180.9,1.22,44.2,47.39,912.35,3.23,57.4,3.76,0.0,0.0,15703.8,421.58,74.0,239.33,5841.6,266.4,-273.75,397.99,303.35,411.65,15.45,244.99
WE,1180.6,1.32,0.0,0.0,911.6,0.66,33.95,11.98,0.0,0.0,15853.6,311.13,173.6,294.06,5277.0,1204.46,-26.05,472.43,-476.8,952.25,76.0,195.05
WE,1182.3,4.94,0.0,0.0,911.7,1.19,18.65,2.15,0.0,0.0,15835.6,236.92,453.2,465.73,5489.6,1870.05,-535.55,748.03,675.4,1582.94,1.95,353.67
WE,1180.45,1.32,0.0,0.0,911.6,0.66,12.8,5.67,0.0,0.0,15899.4,216.92,340.0,394.94,5325.0,238.68,-223.45,610.4,207.75,515.62,-11.65,261.74
WE,1180.4,1.32,0.0,0.0,911.85,0.36,16.9,0.89,0.0,0.0,15829.0,309.84,478.6,336.2,5271.2,301.12,-414.6,311.53,23.2,390.04,-39.05,281.44
WE,1181.2,1.54,40.9,37.07,911.75,0.43,52.0,11.55,0.0,0.0,16049.4,943.17,453.0,435.38,5075.0,1142.68,-452.1,740.12,164.95,1044.91,254.1,694.08
WE,1182.0,1.22,0.0,0.0,912.0,0.0,68.7,5.74,0.0,0.0,16080.6,320.16,-54.0,750.33,4449.0,612.8,-866.3,1137.54,-32.2,858.38,48.9,644.54
WE,1182.4,0.8,0.0,0.0,911.75,0.62,119.55,18.87,0.0,0.0,16382.2,774.89,-99.2,1041.53,3334.2,1125.92,-421.5,1279.5,-212.5,1629.27,-178.25,2001.81
WE,1182.65,1.31,44.0,67.22,911.65,0.65,96.0,16.55,0.0,0.0,16469.2,955.15,-279.8,796.9,2284.2,1266.45,-271.15,696.89,-400.4,1122.18,55.35,615.31
WE,1182.8,0.81,80.6,80.63,911.9,0.7,109.85,29.87,0.0,0.0,16574.0,397.13,222.4,563.08,2014.0,647.32,200.1,634.8,849.85,918.68,-91.95,475.18
WE,1182.5,2.67,153.0,16.09,911.95,0.22,140.75,2.57,0.0,0.0,16437.6,251.93,335.0,372.98,2670.4,530.27,-55.05,449.9,522.45,434.84,188.55,282.55
WE,1183.55,1.28,150.35,5.85,912.05,0.38,141.75,2.21,0.0,0.0,16456.0,172.12,413.8,227.9,3167.8,251.94,-320.3,377.46,284.35,266.32,10.25,263.45
WE,1186.15,5.76,147.15,10.69,912.0,0.32,142.95,4.79,0.0,0.0,16288.2,160.89,149.8,402.69,3631.6,738.31,-558.85,754.27,476.2,878.0,141.95,491.8
WE,1184.15,1.24,126.2,16.02,912.05,0.38,142.25,2.47,0.0,0.0,16338.2,138.76,136.4,215.08,3534.4,251.01,-157.4,318.66,28.8,314.91,96.15,214.71
WE,1184.0,1.0,103.85,8.11,912.15,0.36,139.7,4.44,0.0,0.0,16377.4,192.19,76.8,387.92,3122.2,499.29,-274.75,437.34,330.5,500.59,193.5,353.08
WE,1182.65,1.35,99.6,11.01,912.05,0.22,130.85,3.37,0.0,0.0,16402.0,233.45,54.4,540.36,3115.0,644.15,-39.0,605.01,-8.3,782.22,47.05,560.55
WE,1181.8,2.8,69.05,4.67,912.05,0.22,128.95,0.92,0.0,0.0,16409.2,156.79,-215.4,187.81,3079.2,197.19,-221.75,297.55,262.85,216.86,172.0,163.07
WE,1182.05,1.2,80.7,7.08,911.3,2.35,133.6,2.5,0.0,0.0,16436.2,99.47,-214.4,205.57,3134.0,190.69,-224.1,183.39,215.45,209.5,-30.5,102.41
WE,1183.4,1.83,113.4,8.36,912.25,0.43,131.7,3.0,0.0,0.0,16487.2,135.86,-14.8,355.63,2844.0,493.97,-533.0,482.69,-133.55,942.12,-207.4,480.47
WE,1183.65,0.91,128.4,11.08,912.3,0.64,128.8,5.38,0.0,0.0,16449.4,224.53,253.6,336.19,2760.6,457.17,-112.9,370.71,564.45,522.38,132.05,298.82
WE,1183.6,1.16,152.6,7.53,911.3,3.55,135.6,3.6,0.0,0.0,16428.4,98.3,335.0,113.38,2978.4,230.09,-334.1,156.58,216.7,188.59,13.4,99.04
WE,1184.15,3.89,165.25,1.79,912.15,0.36,137.5,2.13,0.0,0.0,16429.2,104.23,378.2,434.41,3000.2,398.05,-247.45,266.49,240.85,332.29,-8.45,374.71
WE,1184.25,2.55,165.0,2.92,912.25,0.43,138.05,1.36,0.0,0.0,16451.2,110.66,534.4,139.4,2894.0,146.44,-354.7,238.15,216.15,173.47,59.75,119.73
WE,1183.25,1.04,166.95,2.06,912.15,0.36,136.9,6.57,0.0,0.0,16477.0,158.13,433.6,143.29,2860.2,157.62,-379.8,136.24,218.95,163.23,58.0,91.8
WE,1183.35,0.73,171.2,2.18,912.4,1.16,134.65,2.31,0.0,0.0,16436.0,103.56,444.8,148.73,2886.0,290.23,-392.0,152.73,251.25,211.18,67.95,78.15
WE,1182.8,4.04,169.7,2.1,911.65,3.18,134.6,2.08,0.0,0.0,16437.2,111.2,418.2,181.1,2975.8,186.96,-247.4,191.93,281.05,213.5,66.75,84.48
WE,1183.55,2.31,170.0,1.38,912.15,0.91,132.8,2.5,0.0,0.0,16442.0,157.46,478.6,221.41,2962.0,220.2,-273.4,222.71,221.6,212.34,65.45,109.92
WE,1183.45,3.76,170.3,3.27,912.2,0.6,136.9,2.14,0.0,0.0,16448.0,128.67,422.6,267.98,2979.2,205.48,-330.25,204.46,305.15,213.15,77.3,183.25
WE,1185.25,4.67,166.6,4.0,912.25,1.67,134.8,3.76,0.0,0.0,16427.4,246.24,322.8,674.69,2993.4,464.95,-338.25,363.78,153.95,535.41,-0.75,579.05
WE,1184.2,0.93,32.1,64.2,912.5,0.59,131.2,5.35,0.0,0.0,16426.6,153.58,440.2,454.71,3058.6,458.76,-312.05,346.89,298.2,455.68,34.25,248.02
WE,1184.7,1.0,0.0,0.0,912.5,0.67,130.05,4.88,0.0,0.0,16420.4,117.64,447.4,349.6,3051.8,276.6,-363.75,259.48,244.35,209.95,62.7,159.75
WE,1184.65,0.96,0.0,0.0,912.4,0.73,126.4,2.06,0.0,0.0,16376.6,213.58,644.0,668.21,3187.0,328.13,-425.6,915.29,113.0,563.33,-74.4,444.45
WE,1184.9,1.09,58.1,58.27,912.75,2.47,129.7,2.49,0.0,0.0,16422.6,225.66,652.8,361.66,2901.4,560.06,-542.2,730.73,75.05,846.7,-122.65,529.45
WE,1183.2,4.34,136.8,9.47,912.9,1.09,141.5,1.8,0.0,0.0,16504.6,350.26,705.6,610.11,2745.2,454.93,-515.75,647.47,301.35,562.55,159.75,555.5
WE,1185.9,4.72,95.0,70.0,912.9,2.0,123.4,10.76,0.0,0.0,16479.6,535.71,561.4,636.21,2586.2,659.81,-179.1,1356.23,430.85,1085.23,163.35,490.14
WE,1185.6,2.18,102.2,67.11,912.45,0.5,136.5,2.46,0.0,0.0,16381.6,220.45,597.2,612.5,3187.6,567.25,-266.8,594.63,186.0,850.51,69.75,296.06
WE,1185.1,1.04,156.9,3.32,911.95,1.69,143.3,1.45,0.0,0.0,16418.0,110.88,571.2,172.01,3176.0,250.41,-343.3,160.96,346.95,157.19,4.55,173.21
WE,1184.3,1.38,161.9,9.4,912.6,2.73,143.75,0.62,0.0,0.0,16363.4,121.39,703.6,259.83,3307.6,300.35,-412.55,369.64,176.75,246.14,-23.05,251.01
WE,1184.9,1.09,169.3,7.26,912.75,0.89,144.35,0.57,0.0,0.0,16383.2,209.41,719.8,326.39,3192.4,278.74,-321.7,280.89,159.25,283.72,72.4,160.67
WE,1186.3,4.22,164.85,4.42,911.65,5.52,144.15,0.48,0.0,0.0,16464.6,204.35,733.8,421.9,3005.6,293.47,-300.0,239.17,105.65,373.78,-87.55,308.91
WE,1185.8,1.21,157.6,5.57,914.1,4.19,143.05,1.07,0.0,0.0,16381.4,233.11,1394.8,351.49,2659.6,598.32,-349.85,451.54,210.65,753.36,28.85,626.54
WE,1185.8,1.69,125.5,12.41,912.75,1.51,141.8,2.79,0.0,0.0,16407.4,163.79,1039.0,206.34,2801.6,470.55,-201.1,455.01,112.35,654.42,116.8,332.9
WE,1185.7,1.38,123.25,6.36,913.1,1.22,142.2,1.17,0.0,0.0,16515.2,239.03,934.2,187.62,2756.4,283.67,-298.9,398.61,438.3,386.45,106.25,212.25
WE,1185.95,0.97,148.15,11.83,913.15,1.06,142.9,1.34,0.0,0.0,16403.4,161.36,767.8,234.2,2987.2,268.54,-263.65,219.74,366.95,441.29,125.5,220.51
WE,1185.4,4.26,147.65,8.36,912.1,2.19,138.8,1.29,0.0,0.0,16392.0,118.49,747.8,175.77,3168.0,271.44,-202.8,234.74,255.25,430.65,47.8,137.23
WE,1186.2,1.12,143.55,2.09,913.5,1.02,140.55,5.24,0.0,0.0,16418.4,128.76,822.6,285.69,3156.2,221.66,-294.9,178.67,243.85,228.23,102.7,259.3
WE,1186.3,1.23,146.7,2.19,913.65,0.96,141.55,1.16,0.0,0.0,16365.0,131.81,729.8,173.72,3138.2,312.16,-165.95,146.2,209.8,591.2,56.85,140.72
WE,1186.05,0.97,147.0,2.24,913.3,1.35,143.2,0.87,0.0,0.0,16383.8,127.51,815.8,233.91,3102.4,191.59,-358.85,176.42,225.3,230.16,6.25,123.77
WE,1186.85,6.33,150.6,1.59,913.25,0.94,142.75,0.99,0.0,0.0,16400.4,101.42,721.2,131.88,3200.2,187.57,-348.35,169.14,274.8,167.27,71.65,126.98
WE,1185.6,1.5,154.9,1.34,913.4,1.02,142.0,0.84,0.0,0.0,16399.4,103.53,706.2,261.8,3148.2,244.12,-301.15,281.91,274.5,138.41,104.1,134.45
WE,1185.7,1.14,165.65,3.04,913.45,0.67,142.8,1.25,0.0,0.0,16399.0,148.95,807.4,410.33,3230.2,295.45,-382.25,376.85,208.1,431.56,-44.0,266.84
