gesture_id,label,start_time,end_time,ax,ay,az,gx,gy,gz
0,IDLE,1768044764.474697,1768044764.5072641,-14960,5844,3324,-719,150,710
0,IDLE,1768044764.474697,1768044764.5072641,-14824,5916,3184,-565,98,779
0,IDLE,1768044764.474697,1768044764.5072641,-14652,5672,3136,-844,183,642
0,IDLE,1768044764.474697,1768044764.5072641,-14616,5456,3176,-744,56,412
0,IDLE,1768044764.474697,1768044764.5072641,-14556,5492,3076,-610,72,311
0,IDLE,1768044764.474697,1768044764.5072641,-14688,5436,3064,-504,118,334
0,IDLE,1768044764.474697,1768044764.5072641,-14652,5480,3028,-339,223,183
0,IDLE,1768044764.474697,1768044764.5072641,-14744,5588,2920,-327,116,73
0,IDLE,1768044764.474697,1768044764.5072641,-14676,5736,2772,-691,169,-107
0,IDLE,1768044764.474697,1768044764.5072641,-14592,5424,2804,-365,507,-65
0,IDLE,1768044764.474697,1768044764.5072641,-14876,5724,2636,-733,305,-483
0,IDLE,1768044764.474697,1768044764.5072641,-14976,5664,2996,-145,762,-367
0,IDLE,1768044764.474697,1768044764.5072641,-15256,5980,3456,-732,998,-578
0,IDLE,1768044764.474697,1768044764.5072641,-14956,6064,3192,-1666,-1072,-665
0,IDLE,1768044764.474697,1768044764.5072641,-15064,5704,3824,-264,117,249
0,IDLE,1768044764.474697,1768044764.5072641,-14556,5576,3472,-162,-32,317
0,IDLE,1768044764.474697,1768044764.5072641,-14264,5364,3280,-54,-83,375
0,IDLE,1768044764.474697,1768044764.5072641,-14172,5232,2912,-35,-70,19
0,IDLE,1768044764.474697,1768044764.5072641,-14072,5424,2856,307,101,-17
0,IDLE,1768044764.474697,1768044764.5072641,-14196,5680,2988,377,467,-48
0,IDLE,1768044764.474697,1768044764.5072641,-14452,5852,3008,363,724,-63
0,IDLE,1768044764.474697,1768044764.5072641,-15288,6120,2848,-593,523,-244
0,IDLE,1768044764.474697,1768044764.5072641,-15192,6244,3380,-930,808,-664
0,IDLE,1768044764.474697,1768044764.5072641,-15272,6224,3564,-1263,-52,-540
0,IDLE,1768044764.474697,1768044764.5072641,-15240,5848,3628,-288,155,-32
0,IDLE,1768044764.474697,1768044764.5072641,-15136,6052,3632,190,144,227
0,IDLE,1768044764.474697,1768044764.5072641,-14980,5980,3588,43,61,322
0,IDLE,1768044764.474697,1768044764.5072641,-14692,6028,3564,-224,-185,-4
0,IDLE,1768044764.474697,1768044764.5072641,-14920,6192,3588,-1046,-142,-122
0,IDLE,1768044764.474697,1768044764.5072641,-14964,5804,3512,-1053,-184,-3
0,IDLE,1768044764.474697,1768044764.5072641,-15072,5740,3676,-948,-263,-68
0,IDLE,1768044764.474697,1768044764.5072641,-15028,5700,3688,-629,-386,100
0,IDLE,1768044764.474697,1768044764.5072641,-14960,5620,3616,-107,-515,178
0,IDLE,1768044764.474697,1768044764.5072641,-14804,5604,3640,158,-447,255
0,IDLE,1768044764.474697,1768044764.5072641,-14824,5784,3696,-66,-450,171
0,IDLE,1768044764.474697,1768044764.5072641,-14696,5696,3596,-280,-570,104
0,IDLE,1768044764.474697,1768044764.5072641,-14800,5708,3404,-127,-897,21
0,IDLE,1768044764.474697,1768044764.5072641,-14584,5752,3480,58,-659,117
0,IDLE,1768044764.474697,1768044764.5072641,-14760,5936,3472,313,-457,165
0,IDLE,1768044764.474697,1768044764.5072641,-14768,6052,3580,587,-268,96
0,IDLE,1768044764.474697,1768044764.5072641,-14956,6228,3328,-361,-224,-296
0,IDLE,1768044764.474697,1768044764.5072641,-14920,6228,3716,-296,-168,-164
0,IDLE,1768044764.474697,1768044764.5072641,-15040,6276,3588,-916,-390,-154
0,IDLE,1768044764.474697,1768044764.5072641,-14628,5880,3576,-310,-482,317
0,IDLE,1768044764.474697,1768044764.5072641,-14284,5892,3428,7,-310,358
0,IDLE,1768044764.474697,1768044764.5072641,-14044,5896,3608,334,-210,474
0,IDLE,1768044764.474697,1768044764.5072641,-13924,6056,3540,62,-169,304
0,IDLE,1768044764.474697,1768044764.5072641,-13888,6100,3556,-419,-84,183
0,IDLE,1768044764.474697,1768044764.5072641,-13984,5968,3608,-669,-133,148
0,IDLE,1768044764.474697,1768044764.5072641,-13964,5700,3544,-349,-90,140
1,IDLE,1768044767.9303594,1768044767.958595,-14056,5712,3468,84,-77,72
1,IDLE,1768044767.9303594,1768044767.958595,-14048,5708,3516,260,-15,27
1,IDLE,1768044767.9303594,1768044767.958595,-13992,5800,3272,385,-11,-57
1,IDLE,1768044767.9303594,1768044767.958595,-14072,5992,3332,177,116,-286
1,IDLE,1768044767.9303594,1768044767.958595,-14232,6076,3368,-140,297,-375
1,IDLE,1768044767.9303594,1768044767.958595,-14252,5992,3424,-285,426,-243
1,IDLE,1768044767.9303594,1768044767.958595,-14448,6184,3664,-874,686,-413
1,IDLE,1768044767.9303594,1768044767.958595,-14548,5836,3900,-446,463,-113
1,IDLE,1768044767.9303594,1768044767.958595,-14428,5636,3896,66,266,139
1,IDLE,1768044767.9303594,1768044767.958595,-14468,5788,3844,7,380,271
1,IDLE,1768044767.9303594,1768044767.958595,-14408,5692,3792,243,378,396
1,IDLE,1768044767.9303594,1768044767.958595,-14392,5964,3752,16,201,117
1,IDLE,1768044767.9303594,1768044767.958595,-14952,6256,3672,-290,546,-33
1,IDLE,1768044767.9303594,1768044767.958595,-14184,6084,3608,-857,115,-239
1,IDLE,1768044767.9303594,1768044767.958595,-14224,6060,3644,-506,355,-9
1,IDLE,1768044767.9303594,1768044767.958595,-14596,6212,3808,-836,393,16
1,IDLE,1768044767.9303594,1768044767.958595,-14688,6204,3996,-1000,424,135
1,IDLE,1768044767.9303594,1768044767.958595,-14924,6116,4000,-1022,520,181
1,IDLE,1768044767.9303594,1768044767.958595,-14928,5924,4108,-896,372,321
1,IDLE,1768044767.9303594,1768044767.958595,-14884,5756,4060,-500,341,598
1,IDLE,1768044767.9303594,1768044767.958595,-14752,5616,3888,-292,161,634
1,IDLE,1768044767.9303594,1768044767.958595,-14632,5640,3724,-479,161,523
1,IDLE,1768044767.9303594,1768044767.958595,-14572,5560,3772,-850,188,320
1,IDLE,1768044767.9303594,1768044767.958595,-14504,5332,3824,-559,265,332
1,IDLE,1768044767.9303594,1768044767.958595,-14528,5568,3796,-524,292,330
1,IDLE,1768044767.9303594,1768044767.958595,-14212,5412,3824,-459,40,267
1,IDLE,1768044767.9303594,1768044767.958595,-14572,5532,3960,-101,289,226
1,IDLE,1768044767.9303594,1768044767.958595,-14708,5592,4016,-107,263,100
1,IDLE,1768044767.9303594,1768044767.958595,-14800,5688,4020,-419,95,95
1,IDLE,1768044767.9303594,1768044767.958595,-14756,5500,4060,48,-191,58
1,IDLE,1768044767.9303594,1768044767.958595,-14680,5652,3872,425,-383,58
1,IDLE,1768044767.9303594,1768044767.958595,-14600,5760,3752,296,-151,-4
1,IDLE,1768044767.9303594,1768044767.958595,-14464,5792,3760,110,-320,-59
1,IDLE,1768044767.9303594,1768044767.958595,-14420,5876,3592,86,-234,-54
1,IDLE,1768044767.9303594,1768044767.958595,-14424,5816,3572,70,-246,12
1,IDLE,1768044767.9303594,1768044767.958595,-14376,5748,3568,306,-232,25
1,IDLE,1768044767.9303594,1768044767.958595,-14416,5888,3532,248,-76,-43
1,IDLE,1768044767.9303594,1768044767.958595,-14908,5820,3596,293,296,-11
1,IDLE,1768044767.9303594,1768044767.958595,-14324,5932,3672,198,68,-6
1,IDLE,1768044767.9303594,1768044767.958595,-14404,5980,3720,130,289,-24
1,IDLE,1768044767.9303594,1768044767.958595,-14452,6060,3588,9,156,-83
1,IDLE,1768044767.9303594,1768044767.958595,-14520,6000,3784,-65,98,-138
1,IDLE,1768044767.9303594,1768044767.958595,-14576,6060,3752,-133,127,-145
1,IDLE,1768044767.9303594,1768044767.958595,-14532,6052,3740,-36,120,25
1,IDLE,1768044767.9303594,1768044767.958595,-14488,6112,3772,2,212,136
1,IDLE,1768044767.9303594,1768044767.958595,-14464,6220,3940,-164,291,139
1,IDLE,1768044767.9303594,1768044767.958595,-14456,5964,4036,-19,113,196
1,IDLE,1768044767.9303594,1768044767.958595,-14248,5984,4032,103,48,123
1,IDLE,1768044767.9303594,1768044767.958595,-14196,5844,4056,969,69,509
1,IDLE,1768044767.9303594,1768044767.958595,-14496,6108,4016,395,-169,266
2,IDLE,1768044768.1113458,1768044768.1492045,-14356,5916,3864,-14,-294,51
2,IDLE,1768044768.1113458,1768044768.1492045,-14320,5996,3732,-55,-236,-21
2,IDLE,1768044768.1113458,1768044768.1492045,-14160,5968,3616,469,-61,264
2,IDLE,1768044768.1113458,1768044768.1492045,-14200,6136,3692,578,221,368
2,IDLE,1768044768.1113458,1768044768.1492045,-14364,6220,3676,-289,29,130
2,IDLE,1768044768.1113458,1768044768.1492045,-14048,6148,3596,-112,261,54
2,IDLE,1768044768.1113458,1768044768.1492045,-14296,6204,3572,57,492,69
2,IDLE,1768044768.1113458,1768044768.1492045,-14552,6364,3652,-332,606,92
2,IDLE,1768044768.1113458,1768044768.1492045,-14500,6292,3660,-624,487,135
2,IDLE,1768044768.1113458,1768044768.1492045,-14312,6272,3544,-511,550,254
2,IDLE,1768044768.1113458,1768044768.1492045,-14288,6216,3792,-122,835,370
2,IDLE,1768044768.1113458,1768044768.1492045,-14432,6364,3908,-245,748,325
2,IDLE,1768044768.1113458,1768044768.1492045,-14404,6160,4096,-591,580,364
2,IDLE,1768044768.1113458,1768044768.1492045,-14448,5892,4020,-348,529,519
2,IDLE,1768044768.1113458,1768044768.1492045,-14352,6040,3916,-259,487,350
2,IDLE,1768044768.1113458,1768044768.1492045,-15360,6256,4064,-133,468,397
2,IDLE,1768044768.1113458,1768044768.1492045,-14388,6052,3928,-236,227,159
2,IDLE,1768044768.1113458,1768044768.1492045,-14452,6180,3912,-115,278,301
2,IDLE,1768044768.1113458,1768044768.1492045,-14556,6264,4032,-278,327,240
2,IDLE,1768044768.1113458,1768044768.1492045,-14516,6228,4068,-364,214,347
2,IDLE,1768044768.1113458,1768044768.1492045,-14528,6180,3924,-361,-118,390
2,IDLE,1768044768.1113458,1768044768.1492045,-14328,6024,3768,-155,-125,376
2,IDLE,1768044768.1113458,1768044768.1492045,-14428,6148,3792,-87,-23,348
2,IDLE,1768044768.1113458,1768044768.1492045,-14756,6316,3880,-157,107,222
2,IDLE,1768044768.1113458,1768044768.1492045,-15044,6476,4036,-271,-186,170
2,IDLE,1768044768.1113458,1768044768.1492045,-14896,6372,3952,-398,-462,256
2,IDLE,1768044768.1113458,1768044768.1492045,-14104,5964,4024,543,91,587
2,IDLE,1768044768.1113458,1768044768.1492045,-14124,6048,3640,293,-666,423
2,IDLE,1768044768.1113458,1768044768.1492045,-14028,6024,3376,391,-520,414
2,IDLE,1768044768.1113458,1768044768.1492045,-13880,6120,3428,165,-162,170
2,IDLE,1768044768.1113458,1768044768.1492045,-14124,6316,3448,-54,-79,80
2,IDLE,1768044768.1113458,1768044768.1492045,-14140,6360,3504,-461,35,-186
2,IDLE,1768044768.1113458,1768044768.1492045,-14208,6300,3552,-508,149,-240
